label_name,category
Bregma,soft tissue structure – musculoskeletal system
Inion,soft tissue structure – musculoskeletal system
Pterion,soft tissue structure – musculoskeletal system
Asterion,soft tissue structure – musculoskeletal system
Porion,soft tissue structure – musculoskeletal system
Basion,soft tissue structure – musculoskeletal system
Opisthion,soft tissue structure – musculoskeletal system
Fossa temporalis,soft tissue structure – musculoskeletal system
Arcus zygomaticus,soft tissue structure – musculoskeletal system
Fossa infratemporalis,soft tissue structure – musculoskeletal system
Fossa pterygopalatina,soft tissue structure – musculoskeletal system
Fissura pterygomaxillaris,soft tissue structure – musculoskeletal system
Fonticuli cranii,soft tissue structure – musculoskeletal system
Fonticulus anterior,direction – general anatomy
Fonticulus posterior,direction – general anatomy
Fonticulus mastoideus ,soft tissue structure – musculoskeletal system
Fonticulus posterolateralis,direction – general anatomy
Calvaria,soft tissue structure – musculoskeletal system
Lamina externa calvariae,soft tissue structure – musculoskeletal system
Diploe,soft tissue structure – musculoskeletal system
Canales diploici,soft tissue structure – musculoskeletal system
Lamina interna calvariae,soft tissue structure – musculoskeletal system
Sulcus sinus sagittalis superioris,direction – general anatomy
Foveolae granulares,soft tissue structure – musculoskeletal system
Impressiones gyrorum ,soft tissue structure – musculoskeletal system
Impressiones digitatae,soft tissue structure – musculoskeletal system
Juga cerebralia,soft tissue structure – musculoskeletal system
Sulci venosi,soft tissue structure – musculoskeletal system
Sulci arteriosi,soft tissue structure – musculoskeletal system
Basis cranii,soft tissue structure – musculoskeletal system
Basis interna cranii,soft tissue structure – musculoskeletal system
Fissura sphenopetrosa,soft tissue structure – musculoskeletal system
Fissura petrooccipitalis,soft tissue structure – musculoskeletal system
Fossa anterior cranii,direction – general anatomy
Fossa media cranii,soft tissue structure – musculoskeletal system
Fossa posterior cranii,direction – general anatomy
Clivus,soft tissue structure – musculoskeletal system
Sulcus sinus petrosi inferioris,direction – general anatomy
Sulcus sinus sigmoidei,soft tissue structure – musculoskeletal system
Basis externa cranii,soft tissue structure – musculoskeletal system
Foramen jugulare,soft tissue structure – musculoskeletal system
Foramen lacerum,soft tissue structure – musculoskeletal system
Foramen sphenotemporale,soft tissue structure – musculoskeletal system
Palatum osseum,soft tissue structure – musculoskeletal system
Canalis palatinus major,soft tissue structure – musculoskeletal system
Foramen palatinum majus,soft tissue structure – musculoskeletal system
Fossa incisiva,soft tissue structure – musculoskeletal system
Torus palatinus,soft tissue structure – musculoskeletal system
Canalis palatovaginalis,soft tissue structure – musculoskeletal system
Canalis vomerovaginalis,soft tissue structure – musculoskeletal system
Canalis vomerorostralis,soft tissue structure – musculoskeletal system
Orbita,soft tissue structure – musculoskeletal system
Periorbita,soft tissue structure – musculoskeletal system
Septum orbitale,soft tissue structure – musculoskeletal system
Cavitas orbitae,soft tissue structure – musculoskeletal system
Aditus orbitae,soft tissue structure – musculoskeletal system
Margo orbitalis ,soft tissue structure – musculoskeletal system
Margo orbitae,soft tissue structure – musculoskeletal system
Margo supraorbitalis ,soft tissue structure – musculoskeletal system
Margo superior orbitae,direction – general anatomy
Margo infraorbitalis ,soft tissue structure – musculoskeletal system
Margo inferior orbitae,direction – general anatomy
Margo lateralis orbitae ,direction – general anatomy
Margo orbitalis lateralis,direction – general anatomy
Margo medialis orbitae ,direction – general anatomy
Margo orbitalis medialis,direction – general anatomy
Paries superior orbitae,direction – general anatomy
Paries inferior orbitae,direction – general anatomy
Paries lateralis orbitae,direction – general anatomy
(Foramen cranioorbitale),soft tissue structure – musculoskeletal system
Paries medialis orbitae,direction – general anatomy
Foramen ethmoideum anterius ,soft tissue structure – musculoskeletal system
Foramen ethmoidale anterius,soft tissue structure – musculoskeletal system
Foramen ethmoideum posterius,soft tissue structure – musculoskeletal system
Fossa sacci lacrimalis,soft tissue structure – musculoskeletal system
Apex orbitae,soft tissue structure – musculoskeletal system
Fissura orbitalis superior,direction – general anatomy
Fissura orbitalis inferior,direction – general anatomy
Canalis nasolacrimalis,soft tissue structure – musculoskeletal system
Pars ossea septi nasi,soft tissue structure – musculoskeletal system
Cavitas nasalis cranii ,soft tissue structure – musculoskeletal system
Cavitas nasalis ossea ,soft tissue structure – musculoskeletal system
Apertura piriformis,soft tissue structure – musculoskeletal system
Meatus nasalis superior cranii,direction – general anatomy
Meatus nasalis medius cranii,soft tissue structure – musculoskeletal system
Meatus nasalis inferior cranii,direction – general anatomy
Ostium canalis nasolacrimalis,bone – skeletal system
Meatus nasalis communis cranii,soft tissue structure – musculoskeletal system
Recessus sphenoethmoideus cranii ,soft tissue structure – musculoskeletal system
Recessus sphenoethmoidalis cranii,soft tissue structure – musculoskeletal system
Meatus nasopharyngeus cranii,soft tissue structure – musculoskeletal system
Foramen sphenopalatinum,soft tissue structure – musculoskeletal system
Ossa cranii,bone – skeletal system
Os parietale,bone – skeletal system
Facies interna ossis parietalis,soft tissue structure – musculoskeletal system
Sulcus arteriae meningeae mediae,artery – cardiovascular system
Facies externa ossis parietalis,soft tissue structure – musculoskeletal system
Linea temporalis superior,direction – general anatomy
Linea temporalis inferior,direction – general anatomy
